======================================================================
DISAGREEMENT REVIEW ANALYSIS
======================================================================
Cases analyzed: 48 (classified verdicts only)
Excluded: 2 needs_bucket verdict(s), 0 missing record.json

-- Accuracy against human ground truth --
Gemma correct:            23/48 (47.9%)
Tower consensus (flat 8): 11/48 (22.9%)
Family consensus (5-way): 11/48 (22.9%)

-- Where they diverge --
Both right:         0
Both wrong:         14
Only Gemma right:   23
Only towers right:  11

-- Per-tower individual accuracy --
  convnext        16/48 (33.3%)
  beit            10/48 (20.8%)
  swin            12/48 (25.0%)
  naflex_siglip   7/48 (14.6%)
  siglip_fixed    7/48 (14.6%)
  dinov2          10/48 (20.8%)
  eva02           14/48 (29.2%)
  mae             5/48 (10.4%)

-- MAE specifically --
Cases where family-collapsed consensus (excl. MAE) was WRONG: 37
Of those, MAE alone was CORRECT: 0
  -> MAE uniquely rescued 0/37 (0.0%) of the cases where the correlated majority missed.

-- consensus_category distribution (from original audit) --
  majority: 30
  split: 17
  complete_disagreement: 1

-- Per-case detail --
  disagreement_001: human='handwritten_ledger' | gemma='printed_document'[MISS] | tower_flat='handwritten_ledger'[OK] | family='handwritten_ledger'[OK]
  disagreement_004: human='printed_document' | gemma='dense_tabular_rows'[MISS] | tower_flat='printed_document'[OK] | family='printed_document'[OK]
  disagreement_005: human='printed_document' | gemma='dense_tabular_rows'[MISS] | tower_flat='printed_document'[OK] | family='printed_document'[OK]
  disagreement_006: human='handwritten_ledger' | gemma='printed_document'[MISS] | tower_flat='handwritten_ledger'[OK] | family='handwritten_ledger'[OK]
  disagreement_007: human='handwritten_ledger' | gemma='dense_tabular_rows'[MISS] | tower_flat='handwritten_ledger'[OK] | family='handwritten_ledger'[OK]
  disagreement_008: human='website_screenshot' | gemma='dense_tabular_rows'[MISS] | tower_flat='website_screenshot'[OK] | family='website_screenshot'[OK]
  disagreement_009: human='website_screenshot' | gemma='dense_tabular_rows'[MISS] | tower_flat='website_screenshot'[OK] | family='website_screenshot'[OK]
  disagreement_011: human='casual_photo' | gemma='map_land_record'[MISS] | tower_flat='printed_document'[MISS] | family='printed_document'[MISS]
  disagreement_012: human='map_land_record' | gemma='portrait_photo'[MISS] | tower_flat='map_land_record'[OK] | family='map_land_record'[OK]
  disagreement_013: human='map_land_record' | gemma='map_land_record'[OK] | tower_flat='dense_tabular_rows'[MISS] | family='dense_tabular_rows'[MISS]
  disagreement_014: human='map_land_record' | gemma='map_land_record'[OK] | tower_flat='dense_tabular_rows'[MISS] | family='dense_tabular_rows'[MISS]
  disagreement_015: human='map_land_record' | gemma='map_land_record'[OK] | tower_flat='dense_tabular_rows'[MISS] | family='dense_tabular_rows'[MISS]
