file_path,category,confidence,text_density,handwriting,table_layout,faces,map_like,reason,model,prompt_version
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.129.jpg,map_land_record,1.0,0.1,False,False,False,True,The image is a detailed geographic layout featuring lines and topographical markings characteristic of a map.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 212335.png,map_land_record,1.0,0.0,False,False,False,True,The image is an aerial or satellite view depicting geographic features and land divisions.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 212920.png,map_land_record,0.95,0.0,False,False,False,True,The image is an aerial or satellite view depicting a geographic location.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 212930.png,map_land_record,0.95,0.1,False,False,False,True,The image is an aerial or satellite view depicting a geographic location.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 213040.png,map_land_record,0.98,0.0,False,False,False,True,The image is an aerial or satellite view showing geographic features and terrain.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 022642.png,map_land_record,1.0,0.0,False,False,False,True,The image is an aerial or satellite view depicting geographic features and terrain.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\file_00000000429c71fb9b1170065260069e.png,map_land_record,1.0,0.3,False,False,False,True,The image is clearly a map showing geographic features and boundaries.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\file_000000008e3071fb957819fd9ad122c0.png,map_land_record,1.0,0.1,False,False,False,True,The image is clearly a geographic map showing topographical features and place names.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\file_00000000a62c71fb873ce56b9a2e955c.png,map_land_record,1.0,0.2,False,False,False,True,"The image is clearly a detailed geographic map showing rivers, valleys, and land features.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\R21W-044.jpg,map_land_record,1.0,0.3,False,False,False,True,The image is a detailed map showing land divisions and geographic features.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\R21W-046.jpg,map_land_record,1.0,0.3,False,False,False,True,The image is a printed plan showing geographic boundaries and topographical features.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\R21W-048.jpg,map_land_record,1.0,0.1,False,False,False,True,"The image is a printed plan showing a township layout, which qualifies as a map or geographic layout.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\R21W-049.jpg,map_land_record,1.0,0.3,False,False,False,True,"The image is a plan showing topographical lines and measurements, characteristic of a map.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\R21W-051.jpg,map_land_record,1.0,0.1,False,False,False,True,The image is a detailed map showing geographic features and survey lines.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\R21W-052.jpg,map_land_record,1.0,0.3,False,False,False,True,"The image is a detailed map showing geographic features and survey lines, fitting the map_land_record classification.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\R22W-055.jpg,map_land_record,1.0,0.1,False,False,False,True,The image is a detailed map showing geographic features and survey lines.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\R22W-057.jpg,map_land_record,1.0,0.3,False,False,False,True,The image is a detailed map showing a plan of a township and range.,gemma,v1
