file_path,category,confidence,text_density,handwriting,table_layout,faces,map_like,reason,model,prompt_version
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.767.jpg,dense_tabular_rows,0.95,0.98,False,True,False,False,"The image displays numerous names listed in a repeating, columnar format characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.116.jpg,dense_tabular_rows,0.98,0.85,False,True,False,False,"The document consists of multiple repeated rows of data structured in a fixed column layout, characteristic of a census or manifest.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.126.jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The document consists of many repeated rows of data structured in a fixed column layout, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.354.jpg,dense_tabular_rows,0.95,0.85,False,True,False,False,"The document displays numerous repeated rows with fixed columns, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10634.45.jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The document is structured as a form with repeating fields for passenger information, indicating a dense tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10634.67.jpg,dense_tabular_rows,0.98,0.85,False,True,False,False,The document is a passenger manifest with many repeated rows detailing different individuals.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1060.jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The document displays numerous repeated rows of data structured in fixed columns, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1062.jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The document consists of numerous repeated rows of data structured in a fixed column layout, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1238.jpg,dense_tabular_rows,0.95,0.85,False,True,False,False,"The document consists of multiple repeating rows of data structured in a fixed column layout, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1239.jpg,dense_tabular_rows,0.95,0.85,False,True,False,False,"The image displays a list structure with many repeated rows, characteristic of a census or manifest.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7319.121.jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The document consists of many repeated rows, each detailing an entry with fixed columns, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7319.122.jpg,dense_tabular_rows,0.98,0.85,False,True,False,False,"The document consists of many repeated rows with fixed columns for names and salaries, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_t2185.796.jpg,dense_tabular_rows,0.95,0.85,False,True,False,False,"The document displays numerous repeating rows of data structured in a fixed column layout, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_t2185.797.jpg,dense_tabular_rows,0.98,0.85,False,True,False,False,"The image displays numerous repeating rows of data structured in a fixed column layout, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\1921_158-E003219273.jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The document consists of numerous repeated rows of data structured in a fixed column layout, characteristic of a census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Glenlyon Campbell School Census .png,dense_tabular_rows,0.98,0.85,False,True,False,False,"The image displays numerous repeated rows of data structured in fixed columns, characteristic of a census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 221717.png,dense_tabular_rows,0.98,0.85,True,True,False,False,"The image displays numerous repeated rows with a fixed column structure, characteristic of a register or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 233029.png,dense_tabular_rows,0.98,0.85,False,True,False,False,"The document consists of numerous repeated rows, each sharing the same column structure, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 233419.png,dense_tabular_rows,0.98,0.85,False,True,False,False,"The image displays many repeated rows with a fixed set of columns, characteristic of a census or manifest.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 013921.png,dense_tabular_rows,0.98,0.85,False,True,False,False,"The document displays multiple repeated rows with a fixed set of columns, characteristic of a census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 020919.png,dense_tabular_rows,0.95,0.85,False,True,False,False,"The image displays multiple rows of data structured in a fixed column layout, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\R22W-064.jpg,dense_tabular_rows,0.98,0.85,False,True,False,False,"The image displays a grid structure with many repeated rows of data, characteristic of a manifest or census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\1921_022-E002880409.jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The image displays numerous repeated rows of data structured in a fixed column layout, characteristic of a census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\1931_174-e011707164.jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The document consists of numerous repeated rows of data structured in a fixed column layout, characteristic of a census page.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\30807_A000676-00099(1).jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The document is a passenger manifest with many repeated rows, each detailing a different passenger.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\31228_4363955-00089.jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The document consists of many repeated rows with a fixed column layout, characteristic of a passenger manifest.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\CANIMM1913PLIST_2000908421-00487.jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The image displays numerous repeated rows with fixed columns, characteristic of a passenger manifest.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\CR-271-25_bx10-v2_M_00164.jpg,dense_tabular_rows,0.95,0.85,True,True,False,False,"The image displays a structured list format with many repeated rows, characteristic of a passenger manifest.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\e003558130.jpg,dense_tabular_rows,0.98,0.95,False,True,False,False,"The document consists of many repeated rows, each detailing information for a different individual in a fixed column layout.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\e003559198.jpg,dense_tabular_rows,0.95,0.85,False,True,False,False,"The document displays numerous repeated rows with a fixed column structure, characteristic of a passenger manifest.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\e003566165.jpg,dense_tabular_rows,0.98,0.85,True,True,False,False,"The document displays numerous repeated rows with a fixed column structure, characteristic of a passenger manifest.",gemma,v1
