file_path,category,confidence,text_density,handwriting,table_layout,faces,map_like,reason,model,prompt_version
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.601.jpg,portrait_photo,0.95,0.1,False,False,False,False,"The image consists of two photographs depicting scenes with people and horses, fitting the description of portrait photos.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-27 020142.png,portrait_photo,0.98,0.05,False,False,True,False,The image primarily consists of a close-up portrait photograph of an elderly woman.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\file_00000000b30471fba123a861b3d6c658.png,portrait_photo,0.98,0.0,False,False,True,False,"The image is a single photograph primarily depicting people, fitting the definition of a portrait photo.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 190255.png,portrait_photo,0.98,0.1,False,False,True,False,The image is a single photograph primarily depicting a person with negligible accompanying text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 081803.png,portrait_photo,0.98,0.1,False,False,True,False,The image primarily consists of a single portrait photograph of an individual with minimal accompanying text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 074156.png,portrait_photo,0.98,0.1,False,False,True,False,The image primarily depicts a single person in a portrait style with minimal accompanying text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 081149.png,portrait_photo,0.98,0.0,False,False,True,False,"The image is a single photograph primarily depicting a person, fitting the portrait_photo category.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\GP Log Cabin 1909.jpg,portrait_photo,0.95,0.0,False,False,True,False,"The image primarily depicts a group of people in an outdoor setting, fitting the description of a portrait photo.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\368789125_10160658788790791_7078330527904056894_n.jpg,portrait_photo,0.98,0.0,False,False,True,False,The image primarily depicts a group of people posing for a photograph with no substantial text present.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\peggy knott.jpg,portrait_photo,0.98,0.0,False,False,True,False,The image primarily depicts a group of people in a photograph with no substantial text or structured data.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\SchPL002303534f.jpg,portrait_photo,0.95,0.0,False,False,False,False,"The image is a photograph primarily depicting industrial machinery and wreckage, not a person or structured data.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-03 194533.png,portrait_photo,0.95,0.0,False,False,False,False,"The image is a single photograph primarily depicting a building, fitting the portrait_photo category.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 190439.png,portrait_photo,0.98,0.0,False,False,True,False,"The image primarily depicts two people in a photograph, fitting the definition of a portrait photo.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 192135.png,portrait_photo,0.98,0.0,False,False,True,False,The image primarily depicts two people in a photograph with negligible accompanying text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-08 080601.png,portrait_photo,0.98,0.0,False,False,True,False,The image is a single photograph primarily depicting a group of people.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-08 201011.png,portrait_photo,0.98,0.0,False,False,True,False,The image is a single photograph primarily depicting one or two people with negligible text content.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-09 113427.png,portrait_photo,0.98,0.0,False,False,True,False,The image primarily depicts a group of people in a photograph with negligible accompanying text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-09 113627.png,portrait_photo,0.95,0.0,False,False,True,False,"The image primarily depicts a group of people sitting outdoors, fitting the description of a portrait photo.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-09 113841.png,portrait_photo,0.98,0.0,False,False,True,False,The image primarily depicts a group of people posing for a photograph with no substantial text present.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-20 235849.png,portrait_photo,0.95,0.0,False,False,False,False,"The image is a single photograph depicting a scene with machinery and people, fitting the description of a portrait photo.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-26 201421.png,portrait_photo,0.98,0.0,False,False,True,False,The image is a single photograph primarily depicting a group of people.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-26 230056.png,portrait_photo,0.98,0.0,False,False,True,False,The image primarily depicts a group of people in a photographic format with negligible accompanying text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-27 200145.png,portrait_photo,0.95,0.1,False,False,False,False,"The image primarily depicts a single building and landscape, fitting the description of a portrait photo.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-29 011413.png,portrait_photo,0.95,0.1,False,False,True,False,"The image is primarily a photograph depicting a scene and a building, fitting the portrait_photo category.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-30 154232.png,portrait_photo,0.95,0.1,False,False,True,False,The image primarily consists of a portrait photograph of an individual with accompanying text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-30 155217.png,portrait_photo,0.95,0.1,False,False,True,False,The image primarily depicts a group of people in a photograph with negligible accompanying text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-30 164358.png,portrait_photo,0.98,0.1,False,False,True,False,The image is a single photograph primarily depicting a group of people.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-30 210138.png,portrait_photo,0.98,0.1,False,False,True,False,The image primarily consists of a single portrait photograph of an individual with minimal accompanying text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-06-02 180945.png,portrait_photo,0.98,0.0,False,False,True,False,The image is a single photograph primarily depicting students and a teacher with negligible accompanying text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-06-02 181108.png,portrait_photo,0.98,0.1,False,False,True,False,The image is a single photograph primarily depicting a group of people.,gemma,v1
