file_path,disagreement_id,record_json_path
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.767.jpg,disagreement_001,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_001\record.json
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.126.jpg,disagreement_002,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_002\record.json
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1060.jpg,disagreement_003,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_003\record.json
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7319.121.jpg,disagreement_004,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_004\record.json
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7319.122.jpg,disagreement_005,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_005\record.json
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_t2185.796.jpg,disagreement_006,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_006\record.json
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_t2185.797.jpg,disagreement_007,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_007\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 233029.png,disagreement_008,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_008\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 233419.png,disagreement_009,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_009\record.json
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.129.jpg,disagreement_011,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_011\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 212920.png,disagreement_012,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_012\record.json
J:\Genealogy\genealogy_pipeline\data\working\R21W-044.jpg,disagreement_013,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_013\record.json
J:\Genealogy\genealogy_pipeline\data\working\R21W-046.jpg,disagreement_014,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_014\record.json
J:\Genealogy\genealogy_pipeline\data\working\R21W-048.jpg,disagreement_015,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_015\record.json
J:\Genealogy\genealogy_pipeline\data\working\R21W-051.jpg,disagreement_016,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_016\record.json
J:\Genealogy\genealogy_pipeline\data\working\R21W-052.jpg,disagreement_017,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_017\record.json
J:\Genealogy\genealogy_pipeline\data\working\R22W-055.jpg,disagreement_018,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_018\record.json
J:\Genealogy\genealogy_pipeline\data\working\R22W-057.jpg,disagreement_019,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_019\record.json
J:\Genealogy\genealogy_pipeline\data\working\R22W-060.jpg,disagreement_020,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_020\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 215955.png,disagreement_022,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_022\record.json
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.601.jpg,disagreement_024,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_024\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-27 020142.png,disagreement_025,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_025\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 190255.png,disagreement_026,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_026\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 074156.png,disagreement_027,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_027\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 081149.png,disagreement_028,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_028\record.json
J:\Genealogy\genealogy_pipeline\data\working\GP Log Cabin 1909.jpg,disagreement_029,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_029\record.json
J:\Genealogy\genealogy_pipeline\data\working\368789125_10160658788790791_7078330527904056894_n.jpg,disagreement_030,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_030\record.json
J:\Genealogy\genealogy_pipeline\data\working\peggy knott.jpg,disagreement_031,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_031\record.json
J:\Genealogy\genealogy_pipeline\data\working\SchPL002303534f.jpg,disagreement_032,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_032\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-03 194533.png,disagreement_033,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_033\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 190439.png,disagreement_034,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_034\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 192135.png,disagreement_035,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_035\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-08 080601.png,disagreement_036,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_036\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-08 201011.png,disagreement_037,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_037\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-09 113427.png,disagreement_038,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_038\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-09 113627.png,disagreement_039,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_039\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-20 235849.png,disagreement_040,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_040\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-27 020118.png,disagreement_041,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_041\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-03 194506.png,disagreement_042,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_042\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-26 230214.png,disagreement_043,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_043\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-27 195649.png,disagreement_044,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_044\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-28 031910.png,disagreement_045,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_045\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-29 012451.png,disagreement_046,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_046\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-30 125121.png,disagreement_047,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_047\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-30 155250.png,disagreement_048,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_048\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-30 155324.png,disagreement_049,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_049\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-06-02 181442.png,disagreement_050,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_050\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-09 022738.png,disagreement_053,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_053\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-27 001720.png,disagreement_054,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_054\record.json
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-31 224650.png,disagreement_055,J:\Genealogy\genealogy_pipeline\data\outputs\benchmark2_3_multi_tower\consensus_disagreements\disagreement_055\record.json
