bucket,file_path,category,reason
dense_tabular_rows,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.354.jpg,dense_tabular_rows,"The document displays numerous repeated rows with fixed columns, characteristic of a manifest or census page."
dense_tabular_rows,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1060.jpg,dense_tabular_rows,"The document displays numerous repeated rows of data structured in fixed columns, characteristic of a manifest or census page."
dense_tabular_rows,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1062.jpg,dense_tabular_rows,"The document consists of numerous repeated rows of data structured in a fixed column layout, characteristic of a manifest or census page."
dense_tabular_rows,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1238.jpg,dense_tabular_rows,"The document consists of multiple repeating rows of data structured in a fixed column layout, characteristic of a manifest or census page."
dense_tabular_rows,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1239.jpg,dense_tabular_rows,"The image displays a list structure with many repeated rows, characteristic of a census or manifest."
dense_tabular_rows,J:\Genealogy\genealogy_pipeline\data\working\IMCANQC1865_T4821-00622.jpg,dense_tabular_rows,"The document displays numerous repeated rows with a fixed column structure, characteristic of a passenger manifest."
dense_tabular_rows,J:\Genealogy\genealogy_pipeline\data\working\image(2).jpg,dense_tabular_rows,"The image displays numerous repeating rows of data structured in a fixed column layout, characteristic of a passenger manifest."
dense_tabular_rows,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-29 224046.png,dense_tabular_rows,"The image displays numerous repeating rows with a fixed column structure, characteristic of a passenger manifest or census page."
dense_tabular_rows,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-31 133531.png,dense_tabular_rows,"The image displays multiple entries arranged in a structured, repeating format characteristic of a manifest or census page."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.342.jpg,printed_document,"This is a printed document featuring a title and descriptive text, not a repeating tabular structure."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1058.jpg,printed_document,"The image contains typed prose and headings, fitting the description of a printed document."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c7299.1237.jpg,printed_document,"The image contains typed text structured as a title and organizational information, fitting the description of a printed document."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-30 134827.png,printed_document,The image appears to be a single document with handwritten annotations rather than a repeating tabular structure.
printed_document,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-30 162518.png,printed_document,"The image contains substantial printed prose without a repeating tabular structure, fitting the definition of a printed document."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-31 111009.png,printed_document,"The image contains typed prose in a message format, fitting the description of printed text without a tabular structure."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-06-01 002105.png,printed_document,"The image displays a single entity's record with a handful of labeled fields, fitting the definition of a printed document."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-06-01 002729.png,printed_document,"The image presents a single entity's biographical details in a form-like layout, not repeating rows for many people."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-06-06 003250.png,printed_document,"The image contains a single, formatted text plaque, which fits the description of a single-entity form."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-06-06 154601.png,printed_document,"The image contains a single name and year, fitting the description of a single-entity form with a handful of facts."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-06-06 185227.png,printed_document,"The image displays a single document-like item with a few distinct fields, not repeating rows of data."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-06-12 025024.png,printed_document,"The image displays a single, continuous line of printed text, characteristic of a document rather than a repeating tabular structure."
printed_document,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-06-17 221457.png,printed_document,"The image displays a book cover, which is a form of printed prose without a repeating tabular structure."
portrait_photo,J:\Genealogy\genealogy_pipeline\data\working\SchPL002303534f.jpg,portrait_photo,"The image is a photograph primarily depicting industrial machinery and wreckage, not a person or structured data."
portrait_photo,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 190439.png,portrait_photo,"The image primarily depicts two people in a photograph, fitting the definition of a portrait photo."
portrait_photo,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 192135.png,portrait_photo,The image primarily depicts two people in a photograph with negligible accompanying text.
portrait_photo,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-08 080601.png,portrait_photo,The image is a single photograph primarily depicting a group of people.
