moved_at,original_path,bucket,category,reason,new_path
2026-08-01T18:34:03.538875+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 073621.png,dense_tabular_rows,dense_tabular_rows,"The image displays many repeated rows with a fixed column structure, characteristic of a passenger manifest or census page.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-05 073621.png
2026-08-01T18:34:03.539585+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 073641.png,dense_tabular_rows,dense_tabular_rows,"The image displays numerous repeating rows with a fixed column structure, characteristic of a manifest or census page.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-05 073641.png
2026-08-01T18:34:03.540112+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 073655.png,dense_tabular_rows,dense_tabular_rows,"The image displays numerous repeated rows with a fixed column structure, characteristic of a manifest or census page.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-05 073655.png
2026-08-01T18:34:03.540631+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 073940.png,dense_tabular_rows,dense_tabular_rows,"The image displays many repeated rows with a fixed column structure, characteristic of a census page or passenger manifest.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-05 073940.png
2026-08-01T18:34:03.541544+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 222745.png,dense_tabular_rows,dense_tabular_rows,The image displays a structured layout with multiple entries suggesting a repeating row format typical of a manifest or census page.,J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-05 222745.png
2026-08-01T18:34:03.542120+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 222814.png,dense_tabular_rows,dense_tabular_rows,"The image displays numerous repeating rows with structured columns, characteristic of a passenger manifest or census page.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-05 222814.png
2026-08-01T18:34:03.542689+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 223017.png,dense_tabular_rows,dense_tabular_rows,"The image displays multiple lines of handwritten entries arranged in a columnar format, characteristic of a manifest or census page.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-05 223017.png
2026-08-01T18:34:03.543179+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 015126.png,dense_tabular_rows,dense_tabular_rows,"The image displays many repeated rows with a fixed column structure, characteristic of a census or manifest.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-06 015126.png
2026-08-01T18:34:03.543769+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 015442.png,dense_tabular_rows,dense_tabular_rows,"The image displays multiple repeating rows with a fixed column structure, characteristic of a passenger manifest.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-06 015442.png
2026-08-01T18:34:03.544325+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 015510.png,dense_tabular_rows,dense_tabular_rows,"The image displays many repeated rows with a fixed set of columns, characteristic of a census page or manifest.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-06 015510.png
2026-08-01T18:34:03.544894+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 015737.png,dense_tabular_rows,dense_tabular_rows,"The image displays multiple rows of structured entries, characteristic of a passenger manifest or census page.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-06 015737.png
2026-08-01T18:34:03.545406+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 015800.png,dense_tabular_rows,dense_tabular_rows,"The image displays multiple rows of structured entries, characteristic of a passenger manifest or census page.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-06 015800.png
2026-08-01T18:34:03.545981+00:00,J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 015912.png,dense_tabular_rows,dense_tabular_rows,"The image displays a structure with multiple distinct entries arranged in columns, suggesting a repeating tabular format.",J:\Genealogy\genealogy_pipeline\data\pending_prune_review\dense_tabular_rows\Screenshot 2026-05-06 015912.png
