file_path,category,confidence,text_density,handwriting,table_layout,faces,map_like,reason,model,prompt_version
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-03 182722.png,genealogy_chart,1.0,0.2,False,False,False,False,The image is clearly a family tree or pedigree chart with multiple person-nodes arranged in a tree structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-03 182740.png,genealogy_chart,1.0,0.1,False,False,False,False,The image displays a lineage diagram with multiple person-nodes arranged in a tree structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-05 235558.png,genealogy_chart,0.95,0.3,False,False,False,False,The image clearly depicts a structured family tree with multiple individuals and their relationships.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-06 203711.png,genealogy_chart,1.0,0.2,False,False,True,False,The image displays a structured family tree with multiple person-nodes arranged in a clear lineage diagram format.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-03 210402.png,genealogy_chart,1.0,0.1,False,False,False,False,The image displays a clear family tree structure with multiple person-nodes arranged in a tree layout.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-03 164426.png,genealogy_chart,0.98,0.3,False,False,False,False,The image displays a family tree structure with multiple person-nodes arranged in a clear lineage diagram.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-03 165118.png,genealogy_chart,1.0,0.3,False,False,False,False,The image displays a clear family tree structure with multiple person nodes arranged in a lineage diagram format.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-03 173236.png,genealogy_chart,1.0,0.3,False,False,True,False,The image displays a family tree structure with multiple person-nodes arranged in a tree layout.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-03 174636.png,genealogy_chart,1.0,0.2,False,False,False,False,The image displays a clear family tree structure with multiple person-nodes arranged in a tree layout.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\Screenshot 2026-05-03 174824.png,genealogy_chart,0.98,0.3,False,False,False,False,The image displays a structured family tree with multiple person-nodes arranged in a tree structure.,gemma,v1
