file_path,category,confidence,text_density,handwriting,table_layout,faces,map_like,reason,model,prompt_version
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.658.jpg,printed_document,0.98,0.95,False,False,False,False,"This is a typed application form with a handful of one-time labeled fields, fitting the printed_document category.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.730.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, characteristic of a letter or official correspondence, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.734.jpg,printed_document,0.98,0.4,False,False,False,False,"The image contains typed prose in the form of a letter, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.735.jpg,printed_document,0.98,0.75,False,False,False,False,"The image contains typed prose in the form of a letter, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.736.jpg,printed_document,0.98,0.4,False,False,False,False,"The image consists of typed prose, characteristic of a letter or official correspondence.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.737.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists of typed prose, characteristic of a letter, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.738.jpg,printed_document,0.98,0.75,False,False,False,False,"The image contains typed prose in the form of a letter, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.740.jpg,printed_document,0.98,0.75,False,False,False,False,"The image contains typed prose in the form of a letter, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.741.jpg,printed_document,0.98,0.75,False,False,False,False,"The image contains typed prose in a letter format, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.742.jpg,printed_document,0.95,0.85,False,False,False,False,"The document is a typed letter or official correspondence with a handful of unique fields, not repeating tabular data.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.747.jpg,printed_document,0.98,0.85,False,False,False,False,"The image contains typed prose in the form of a letter, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.761.jpg,printed_document,0.95,0.4,True,False,False,False,The document appears to be a typed memo or letter with a handful of labeled fields rather than repeating tabular data.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.762.jpg,printed_document,0.98,0.6,True,False,False,False,"The document is a typed letter or memorandum with a handful of unique fields, fitting the printed_document classification.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.764.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists of typed prose in the form of a letter, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.798.jpg,printed_document,0.98,0.85,False,False,False,False,"The image is a typed letter or official correspondence, fitting the description of printed prose.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10264.808.jpg,printed_document,0.95,0.85,False,False,False,False,"The document is typed prose, resembling a letter or official correspondence, rather than a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.1130.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, characteristic of a letter or official document, without repeating tabular data.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.1131.jpg,printed_document,0.95,0.6,False,False,False,False,"The document consists of typed prose and a few single-entity labeled fields, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.1142.jpg,printed_document,0.98,0.85,False,False,False,False,"The image is a typed letter or official correspondence, fitting the description of printed prose.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.1199.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists of typed prose, characteristic of a letter or document, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.1203.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, characteristic of a letter or report, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.468.jpg,printed_document,0.98,0.85,False,False,False,False,"This is a single-entity form with a handful of one-time labeled fields, fitting the printed_document criteria.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.469.jpg,printed_document,0.98,0.4,False,False,False,False,"The image is a typed form with a handful of single-entity fields, fitting the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.472.jpg,printed_document,0.98,0.4,False,False,False,False,"The document consists of typed prose and numbered points, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.597.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, characteristic of a letter or official document, without repeating tabular data.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.598.jpg,printed_document,0.98,0.3,False,False,False,False,"The image contains typed prose in a letter format, which fits the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.599.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose and questions, fitting the description of printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10295.850.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of a typed list of names and addresses, which is characteristic of printed prose rather than a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.455.jpg,printed_document,0.98,0.75,False,False,False,False,The image consists of typed prose forming a letter or report without any repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.456.jpg,printed_document,0.98,0.4,False,False,False,False,"The image consists of typed prose, characteristic of a letter or article, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.478.jpg,printed_document,0.98,0.75,False,False,False,False,"The image is a typed letter, which falls under the printed_document category for prose.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.494.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, characteristic of a letter or official correspondence.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.497.jpg,printed_document,0.95,0.8,False,False,False,False,The image contains typed prose resembling a letter or document without repeating tabular data structures.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.500.jpg,printed_document,0.95,0.85,False,False,False,False,"The image consists of typed prose and a schedule, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.501.jpg,printed_document,0.98,0.65,False,False,False,False,"The image consists of typed prose detailing an itinerary, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.502.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists of typed prose detailing an itinerary, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.503.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose and headings, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.504.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose in a memorandum format, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.508.jpg,printed_document,0.95,0.85,False,False,False,False,The document consists of typed prose and structured entries that do not form a repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.509.jpg,printed_document,0.95,0.85,False,False,False,False,"The image consists of typed prose, which fits the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.510.jpg,printed_document,0.98,0.4,True,False,False,False,"The image contains prose in a letter format, which fits the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.511.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, characteristic of a letter or official document, without repeating tabular data.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.512.jpg,printed_document,0.95,0.4,False,False,False,False,"The image consists of continuous prose, characteristic of a letter or document, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.513.jpg,printed_document,0.95,0.7,True,False,False,False,"The image contains a letter format, which is classified as printed document, rather than a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.515.jpg,printed_document,0.95,0.8,False,False,False,False,"The image consists of typed prose, characteristic of a letter, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.516.jpg,printed_document,0.98,0.4,False,False,False,False,"The image contains a typed letter, which falls under the printed_document category.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.517.jpg,printed_document,0.95,0.75,False,False,False,False,"The document is a typed official statement with a few labeled fields, fitting the description of a single-entity form.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10296.519.jpg,printed_document,0.98,0.4,False,False,False,False,"The image is a typed letter, which falls under the printed_document category as it is prose without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.529.jpg,printed_document,0.98,0.85,False,False,False,False,The image consists of typed prose forming a letter or official correspondence without a repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.548.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, characteristic of a letter or official correspondence.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.549.jpg,printed_document,0.98,0.4,False,False,False,False,"The image consists of typed prose forming a letter, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.69.jpg,printed_document,0.98,0.75,False,False,False,False,The image consists of typed prose forming an article or note without a repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.70.jpg,printed_document,1.0,0.8,False,False,False,False,"The image consists of continuous typed prose, characteristic of an article or text.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.72.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of continuous typed prose, characteristic of an article or text.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.73.jpg,printed_document,1.0,0.8,False,False,False,False,The image consists of continuous typed prose forming an article or text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.74.jpg,printed_document,1.0,0.8,False,False,False,False,"The image consists of continuous typed prose, characteristic of an article or text.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.75.jpg,printed_document,0.98,0.85,False,False,False,False,The image consists of continuous typed prose without a repeating tabular structure or photographic elements.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.77.jpg,printed_document,0.98,0.85,False,False,False,False,The image consists of continuous typed prose forming an article or text block.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.78.jpg,printed_document,0.98,0.75,False,False,False,False,The image consists of continuous typed prose forming an article or text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.79.jpg,printed_document,0.98,0.85,False,False,False,False,The image consists of continuous typed prose forming an article or text passage.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.80.jpg,printed_document,1.0,0.8,False,False,False,False,"The image consists of continuous typed prose, characteristic of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.82.jpg,printed_document,1.0,0.9,False,False,False,False,The image consists of continuous typed prose forming an article or text document.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.83.jpg,printed_document,0.98,0.85,False,False,False,False,The image consists of continuous typed prose forming an article or text.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.84.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose and a title, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10301.86.jpg,printed_document,0.98,0.95,False,False,False,False,The image consists of typed prose forming a legal or application document without repeating tabular data.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.112.jpg,printed_document,0.98,0.85,False,False,False,False,"This is a printed document featuring a title and text, not a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.113.jpg,printed_document,0.98,0.85,False,False,False,False,The image consists of typed prose forming an article or document without repeating tabular data structures.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.114.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of continuous typed prose, characteristic of an article or document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.115.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists of typed prose and headings, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.117.jpg,printed_document,0.98,0.85,False,False,False,False,The image consists of typed prose forming a document without a repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.118.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists of continuous typed prose, characteristic of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.119.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists of continuous typed prose, characteristic of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.120.jpg,printed_document,0.98,0.85,False,False,False,False,The image consists of typed prose forming a letter or document without a repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.121.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists of continuous typed prose, characteristic of a letter or article, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.122.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of continuous typed prose, characteristic of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.123.jpg,printed_document,0.98,0.75,False,False,False,False,The image consists of continuous typed prose forming an article or letter without a repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.124.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, characteristic of a letter or document, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.125.jpg,printed_document,0.98,0.4,False,False,False,False,"The image contains typed prose, characteristic of a letter, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.127.jpg,printed_document,0.98,0.85,False,False,False,False,The image consists of typed prose and informational text without a repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10414.128.jpg,printed_document,0.98,0.75,False,False,False,False,The image consists primarily of typed prose and informational text without a repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.329.jpg,printed_document,0.98,0.4,False,False,False,False,"The image contains typed prose, characteristic of a letter, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.330.jpg,printed_document,0.98,0.85,False,False,False,False,"The image contains typed prose from a letter, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.331.jpg,printed_document,0.95,0.4,False,False,False,False,"The image contains typed prose resembling a memo or letter, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.332.jpg,printed_document,0.98,0.65,False,False,False,False,"The image contains typed prose from a letter, which fits the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.333.jpg,printed_document,0.98,0.4,False,False,False,False,"The image contains typed prose in a letter format, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.334.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists of typed prose forming a letter, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.335.jpg,printed_document,0.98,0.4,False,False,False,False,The image contains typed prose resembling a letter or official correspondence without repeating tabular data.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.336.jpg,printed_document,0.95,0.3,True,False,False,False,"The image consists primarily of typed prose and a signature, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.337.jpg,printed_document,0.98,0.4,False,False,False,False,"The image contains typed correspondence and official letterhead, fitting the description of printed prose.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.338.jpg,printed_document,0.98,0.85,False,False,False,False,"The image contains typed prose in the form of a letter, which fits the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.340.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists primarily of typed prose, resembling a letter or official correspondence.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.341.jpg,printed_document,0.95,0.3,False,False,False,False,"The image contains typed prose and a single letter format, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.342.jpg,printed_document,0.98,0.85,False,False,False,False,"This is a printed document featuring a title and descriptive text, not a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.343.jpg,printed_document,0.95,0.3,False,False,False,False,The image contains typed text resembling a poster or document without repeating tabular data structures.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.344.jpg,printed_document,0.95,0.3,True,False,False,False,"The image contains handwritten script and a few labeled fields, fitting the description of a single-entity form rather than repeated tabular data.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.345.jpg,printed_document,0.98,0.6,False,False,False,False,"The image is a typed letter from a government department, fitting the description of printed prose.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.346.jpg,printed_document,0.98,0.65,True,False,False,False,"The image contains typed prose and a single-entity letter format, fitting the printed_document category.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.347.jpg,printed_document,0.98,0.4,False,False,False,False,"The image consists of typed prose, characteristic of a letter, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.348.jpg,printed_document,0.98,0.75,False,False,False,False,"The image contains typed prose in the form of an excerpt from a letter, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.349.jpg,printed_document,0.98,0.3,False,False,False,False,"The image contains typed prose from a letter, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.350.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, characteristic of a letter or memorandum, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.352.jpg,printed_document,0.95,0.3,False,False,False,False,"The image contains typed prose from a letter, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10610.353.jpg,printed_document,0.98,0.65,False,False,False,False,"The image contains typed prose and official letter formatting, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10634.34.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, specifically a letter, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10634.46.jpg,printed_document,0.98,0.95,False,False,False,False,"The image consists primarily of typed prose and section headings, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10634.903.jpg,printed_document,0.95,0.75,True,False,False,False,The document is a typed letter or form with a handful of unique fields rather than repeated tabular data.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10634.905.jpg,printed_document,0.95,0.75,False,False,False,False,"The image is a typed official document with a handful of labeled fields, fitting the description of a single-entity form.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.543.jpg,printed_document,0.95,0.85,False,False,False,False,The image consists of typed text resembling a report or correspondence rather than a repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.544.jpg,printed_document,0.95,0.85,False,False,False,False,"The image consists of typed prose, likely a letter or report, without repeating tabular data structures.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.545.jpg,printed_document,0.95,0.75,False,False,False,False,The image contains typed prose resembling a letter or report without repeating tabular data structures.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.546.jpg,printed_document,0.95,0.4,False,False,False,False,"The image consists of typed prose, which fits the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.547.jpg,printed_document,0.98,0.4,False,False,False,False,"The image contains typed prose, characteristic of a letter, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.548.jpg,printed_document,0.98,0.3,False,False,False,False,"The image contains typed prose, characteristic of a letter, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.549.jpg,printed_document,0.98,0.6,False,False,False,False,"The image is a typed letter, which falls under the printed_document category for prose.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.724.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists of typed prose forming a letter, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.725.jpg,printed_document,0.98,0.65,False,False,False,False,"The image consists of typed prose, resembling a letter or official correspondence, without repeating tabular data.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.726.jpg,printed_document,0.98,0.75,False,False,False,False,"The image contains typed prose in a letter format, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.728.jpg,printed_document,0.98,0.85,False,False,False,False,The image consists of typed prose and official notice text without any repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.729.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose in a letter format, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.733.jpg,printed_document,0.95,0.6,True,False,False,False,The document appears to be a typed or printed letter with a handful of unique fields rather than repeated tabular data.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.746.jpg,printed_document,0.98,0.75,False,False,False,False,"The image contains typed prose and official correspondence, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.747.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose and official correspondence, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.755.jpg,printed_document,0.95,0.3,True,False,False,False,"The image contains typed prose and a single letter format, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.935.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, characteristic of a letter or official correspondence, without a repeating tabular structure.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.936.jpg,printed_document,0.98,0.75,True,False,False,False,"The image consists primarily of typed prose and a signature, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.937.jpg,printed_document,0.98,0.85,False,False,False,False,"The image contains typed prose in the form of a letter, which fits the definition of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.938.jpg,printed_document,0.98,0.3,False,False,False,False,The image contains typed prose forming a letter or official notice without a repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.939.jpg,printed_document,0.98,0.75,False,False,False,False,"The image consists primarily of typed prose and letterhead, fitting the description of a printed document.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.941.jpg,printed_document,0.98,0.75,False,False,False,False,"This is a typed certificate or official document with a handful of unique fields, fitting the printed_document classification.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.942.jpg,printed_document,0.98,0.85,False,False,False,False,"The image consists of typed prose, resembling a letter or official correspondence, without repeating tabular data.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.943.jpg,printed_document,0.98,0.85,False,False,False,False,"This document is a typed certificate with a handful of one-time labeled fields, fitting the printed_document definition.",gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.945.jpg,printed_document,0.98,0.85,False,False,False,False,The image consists of typed prose forming a letter or official communication without a repeating tabular structure.,gemma,v1
J:\Genealogy\genealogy_pipeline\data\working\oocihm.lac_reel_c10639.946.jpg,printed_document,0.98,0.85,True,False,False,False,"The document is a typed letter with a handful of labeled fields, fitting the description of a printed document.",gemma,v1
